Region,Block,Management,Site,Transect,Year,damsel,wrasse,parrotfish,grouper
A,Block 3,a,Site 2,Transect 3,2013,0,0,33,0
A,Block 3,a,Site 2,Transect 3,2014,17,0,0,NA
A,Block 3,b,Site 1,Transect 1,2000,25,0,28,0
A,Block 3,b,Site 1,Transect 1,2001,30,0,26,3
A,Block 3,b,Site 1,Transect 1,2002,0,20,19,0
A,Block 3,b,Site 1,Transect 1,2003,23,0,0,2
A,Block 3,b,Site 1,Transect 1,2004,17,25,24,0
A,Block 3,b,Site 1,Transect 1,2005,NA,26,0,0
A,Block 3,b,Site 1,Transect 1,2006,36,34,28,6
A,Block 3,b,Site 1,Transect 1,2007,33,0,18,0
A,Block 3,b,Site 1,Transect 1,2008,37,0,0,0
A,Block 3,b,Site 1,Transect 1,2009,35,34,15,0
A,Block 3,b,Site 1,Transect 1,2010,0,37,22,0
A,Block 3,b,Site 1,Transect 1,2011,28,31,15,4
A,Block 3,b,Site 1,Transect 1,2012,25,0,0,5
A,Block 3,b,Site 1,Transect 1,2013,34,0,18,0
A,Block 3,b,Site 1,Transect 1,2014,0,0,26,2
A,Block 3,b,Site 1,Transect 2,2000,17,10,0,1
A,Block 3,b,Site 1,Transect 2,2001,25,0,27,1
A,Block 3,b,Site 1,Transect 2,2002,19,14,0,0
A,Block 3,b,Site 1,Transect 2,2003,15,0,34,2
A,Block 3,b,Site 1,Transect 2,2004,0,10,46,1
A,Block 3,b,Site 1,Transect 2,2005,0,0,44,1
A,Block 3,b,Site 1,Transect 2,2006,0,0,43,0
A,Block 3,b,Site 1,Transect 2,2007,23,0,37,0
A,Block 3,b,Site 1,Transect 2,2008,26,0,27,0
A,Block 3,b,Site 1,Transect 2,2009,0,0,39,1
A,Block 3,b,Site 1,Transect 2,2010,23,26,21,2
A,Block 3,b,Site 1,Transect 2,2011,0,22,38,1
A,Block 3,b,Site 1,Transect 2,2012,0,0,42,0
A,Block 3,b,Site 1,Transect 2,2013,29,0,37,0
A,Block 3,b,Site 1,Transect 2,2014,27,0,0,0
A,Block 3,b,Site 1,Transect 3,2000,45,0,14,4
A,Block 3,b,Site 1,Transect 3,2001,0,38,0,5
A,Block 3,b,Site 1,Transect 3,2002,45,35,0,0
A,Block 3,b,Site 1,Transect 3,2003,0,32,22,0
A,Block 3,b,Site 1,Transect 3,2004,34,0,22,0
A,Block 3,b,Site 1,Transect 3,2005,36,28,17,0
A,Block 3,b,Site 1,Transect 3,2006,0,0,11,0
A,Block 3,b,Site 1,Transect 3,2007,0,0,13,0
A,Block 3,b,Site 1,Transect 3,2008,43,0,8,0
A,Block 3,b,Site 1,Transect 3,2009,53,0,0,0
A,Block 3,b,Site 1,Transect 3,2010,50,0,3,0
A,Block 3,b,Site 1,Transect 3,2011,0,49,7,0
A,Block 3,b,Site 1,Transect 3,2012,0,47,10,5
A,Block 3,b,Site 1,Transect 3,2013,53,0,8,1
A,Block 3,b,Site 1,Transect 3,2014,0,0,11,6
A,Block 3,b,Site 2,Transect 1,2000,15,17,51,1
A,Block 3,b,Site 2,Transect 1,2001,0,0,0,0
A,Block 3,b,Site 2,Transect 1,2002,0,0,42,0
A,Block 3,b,Site 2,Transect 1,2003,13,0,45,0
A,Block 3,b,Site 2,Transect 1,2004,12,0,0,0
A,Block 3,b,Site 2,Transect 1,2005,0,18,52,0
A,Block 3,b,Site 2,Transect 1,2006,28,0,39,0
A,Block 3,b,Site 2,Transect 1,2007,31,19,30,4
A,Block 3,b,Site 2,Transect 1,2008,0,30,33,0
A,Block 3,b,Site 2,Transect 1,2009,0,27,28,0
A,Block 3,b,Site 2,Transect 1,2010,29,29,0,0
A,Block 3,b,Site 2,Transect 1,2011,0,22,0,0
A,Block 3,b,Site 2,Transect 1,2012,24,0,0,0
A,Block 3,b,Site 2,Transect 1,2013,31,32,30,1
A,Block 3,b,Site 2,Transect 1,2014,0,20,26,3
A,Block 3,b,Site 2,Transect 2,2000,19,18,0,0
A,Block 3,b,Site 2,Transect 2,2001,0,0,43,0
A,Block 3,b,Site 2,Transect 2,2002,0,6,64,0
A,Block 3,b,Site 2,Transect 2,2003,8,10,43,0
A,Block 3,b,Site 2,Transect 2,2004,6,0,53,0
A,Block 3,b,Site 2,Transect 2,2005,NA,0,51,2
A,Block 3,b,Site 2,Transect 2,2006,0,26,43,0
A,Block 3,b,Site 2,Transect 2,2007,28,0,35,0
A,Block 3,b,Site 2,Transect 2,2008,0,0,26,0
A,Block 3,b,Site 2,Transect 2,2009,0,0,30,0
A,Block 3,b,Site 2,Transect 2,2010,0,18,0,0
A,Block 3,b,Site 2,Transect 2,2011,0,0,36,2
A,Block 3,b,Site 2,Transect 2,2012,8,0,38,0
A,Block 3,b,Site 2,Transect 2,2013,17,0,0,1
A,Block 3,b,Site 2,Transect 2,2014,26,0,40,1
A,Block 3,b,Site 2,Transect 3,2000,27,29,30,3
A,Block 3,b,Site 2,Transect 3,2001,27,0,0,0
A,Block 3,b,Site 2,Transect 3,2002,25,0,36,0
A,Block 3,b,Site 2,Transect 3,2003,0,17,31,0
A,Block 3,b,Site 2,Transect 3,2004,NA,0,43,2
A,Block 3,b,Site 2,Transect 3,2005,0,20,31,0
A,Block 3,b,Site 2,Transect 3,2006,0,0,24,0
A,Block 3,b,Site 2,Transect 3,2007,46,0,17,0
A,Block 3,b,Site 2,Transect 3,2008,35,0,25,0
A,Block 3,b,Site 2,Transect 3,2009,35,38,16,0
A,Block 3,b,Site 2,Transect 3,2010,33,27,17,5
A,Block 3,b,Site 2,Transect 3,2011,0,31,17,0
A,Block 3,b,Site 2,Transect 3,2012,34,0,24,0
A,Block 3,b,Site 2,Transect 3,2013,35,0,21,5
A,Block 3,b,Site 2,Transect 3,2014,28,0,0,0
A,Block 4,a,Site 1,Transect 1,2000,0,45,15,4
A,Block 4,a,Site 1,Transect 1,2001,27,0,16,0
A,Block 4,a,Site 1,Transect 1,2002,53,0,15,4
A,Block 4,a,Site 1,Transect 1,2003,24,0,0,0
A,Block 4,a,Site 1,Transect 1,2004,0,0,0,4
A,Block 4,a,Site 1,Transect 1,2005,0,0,35,0
A,Block 4,a,Site 1,Transect 1,2006,0,0,27,4
A,Block 4,a,Site 1,Transect 1,2007,38,43,21,0
A,Block 4,a,Site 1,Transect 1,2008,0,0,18,0
A,Block 4,a,Site 1,Transect 1,2009,0,27,13,6
A,Block 4,a,Site 1,Transect 1,2010,32,0,25,7
A,Block 4,a,Site 1,Transect 1,2011,37,0,21,0
A,Block 4,a,Site 1,Transect 1,2012,29,0,20,0
A,Block 4,a,Site 1,Transect 1,2013,45,26,20,0
A,Block 4,a,Site 1,Transect 1,2014,0,0,25,0
A,Block 4,a,Site 1,Transect 2,2000,12,0,0,0
A,Block 4,a,Site 1,Transect 2,2001,0,0,35,0
A,Block 4,a,Site 1,Transect 2,2002,0,0,53,0
A,Block 4,a,Site 1,Transect 2,2003,6,11,47,0
A,Block 4,a,Site 1,Transect 2,2004,0,0,50,0
A,Block 4,a,Site 1,Transect 2,2005,0,0,57,0
A,Block 4,a,Site 1,Transect 2,2006,0,4,77,1
A,Block 4,a,Site 1,Transect 2,2007,4,0,49,1
A,Block 4,a,Site 1,Transect 2,2008,10,0,48,0
A,Block 4,a,Site 1,Transect 2,2009,0,11,47,1
A,Block 4,a,Site 1,Transect 2,2010,0,0,37,0
A,Block 4,a,Site 1,Transect 2,2011,0,0,46,0
A,Block 4,a,Site 1,Transect 2,2012,7,0,51,0
A,Block 4,a,Site 1,Transect 2,2013,0,0,0,0
A,Block 4,a,Site 1,Transect 2,2014,0,0,51,0
A,Block 4,a,Site 1,Transect 3,2000,32,0,27,5
A,Block 4,a,Site 1,Transect 3,2001,35,33,21,6
A,Block 4,a,Site 1,Transect 3,2002,36,0,27,0
A,Block 4,a,Site 1,Transect 3,2003,22,0,0,0
A,Block 4,a,Site 1,Transect 3,2004,17,25,36,0
A,Block 4,a,Site 1,Transect 3,2005,0,0,37,0
A,Block 4,a,Site 1,Transect 3,2006,32,20,31,0
A,Block 4,a,Site 1,Transect 3,2007,33,0,0,0
A,Block 4,a,Site 1,Transect 3,2008,20,0,27,0
A,Block 4,a,Site 1,Transect 3,2009,27,36,25,0
A,Block 4,a,Site 1,Transect 3,2010,0,0,26,6
A,Block 4,a,Site 1,Transect 3,2011,0,0,32,1
A,Block 4,a,Site 1,Transect 3,2012,24,0,29,0
A,Block 4,a,Site 1,Transect 3,2013,26,31,0,0
A,Block 4,a,Site 1,Transect 3,2014,15,0,27,0
A,Block 4,a,Site 2,Transect 1,2000,0,0,0,5
A,Block 4,a,Site 2,Transect 1,2001,0,0,35,0
A,Block 4,a,Site 2,Transect 1,2002,24,0,36,0
A,Block 4,a,Site 2,Transect 1,2003,0,29,0,1
A,Block 4,a,Site 2,Transect 1,2004,0,23,0,0
A,Block 4,a,Site 2,Transect 1,2005,0,15,42,0
A,Block 4,a,Site 2,Transect 1,2006,30,0,0,0
A,Block 4,a,Site 2,Transect 1,2007,17,0,33,2
A,Block 4,a,Site 2,Transect 1,2008,0,0,26,0
A,Block 4,a,Site 2,Transect 1,2009,0,0,28,2
A,Block 4,a,Site 2,Transect 1,2010,0,37,0,6
A,Block 4,a,Site 2,Transect 1,2011,29,30,37,0
A,Block 4,a,Site 2,Transect 1,2012,0,0,NA,1
A,Block 4,a,Site 2,Transect 1,2013,31,0,25,0
A,Block 4,a,Site 2,Transect 1,2014,0,0,43,0
A,Block 4,a,Site 2,Transect 2,2000,28,0,28,0
A,Block 4,a,Site 2,Transect 2,2001,20,0,0,2
A,Block 4,a,Site 2,Transect 2,2002,23,0,27,0
A,Block 4,a,Site 2,Transect 2,2003,21,20,34,0
A,Block 4,a,Site 2,Transect 2,2004,13,0,0,0
A,Block 4,a,Site 2,Transect 2,2005,15,15,45,0
A,Block 4,a,Site 2,Transect 2,2006,0,0,38,2
A,Block 4,a,Site 2,Transect 2,2007,24,0,32,1
A,Block 4,a,Site 2,Transect 2,2008,NA,22,34,0
A,Block 4,a,Site 2,Transect 2,2009,15,0,30,0
A,Block 4,a,Site 2,Transect 2,2010,27,24,29,2
A,Block 4,a,Site 2,Transect 2,2011,28,0,34,0
A,Block 4,a,Site 2,Transect 2,2012,0,29,34,1
A,Block 4,a,Site 2,Transect 2,2013,33,21,36,2
A,Block 4,a,Site 2,Transect 2,2014,30,0,45,2
A,Block 4,a,Site 2,Transect 3,2000,34,0,0,0
A,Block 4,a,Site 2,Transect 3,2001,0,0,27,0
A,Block 4,a,Site 2,Transect 3,2002,0,25,28,0
A,Block 4,a,Site 2,Transect 3,2003,0,30,45,1
A,Block 4,a,Site 2,Transect 3,2004,0,16,40,1
A,Block 4,a,Site 2,Transect 3,2005,0,0,40,0
A,Block 4,a,Site 2,Transect 3,2006,0,0,36,1
A,Block 4,a,Site 2,Transect 3,2007,0,29,30,2
A,Block 4,a,Site 2,Transect 3,2008,32,0,37,3
A,Block 4,a,Site 2,Transect 3,2009,21,0,35,0
A,Block 4,a,Site 2,Transect 3,2010,27,0,19,0
A,Block 4,a,Site 2,Transect 3,2011,18,0,30,0
A,Block 4,a,Site 2,Transect 3,2012,0,26,0,0
A,Block 4,a,Site 2,Transect 3,2013,0,0,36,0
A,Block 4,a,Site 2,Transect 3,2014,14,19,0,0
A,Block 4,b,Site 1,Transect 1,2000,40,0,21,0
A,Block 4,b,Site 1,Transect 1,2001,30,42,18,1
A,Block 4,b,Site 1,Transect 1,2002,39,43,22,0
A,Block 4,b,Site 1,Transect 1,2003,28,0,16,0
A,Block 4,b,Site 1,Transect 1,2004,0,0,26,1
A,Block 4,b,Site 1,Transect 1,2005,0,0,0,5
A,Block 4,b,Site 1,Transect 1,2006,0,0,16,0
A,Block 4,b,Site 1,Transect 1,2007,0,0,11,0
A,Block 4,b,Site 1,Transect 1,2008,48,0,0,0
A,Block 4,b,Site 1,Transect 1,2009,0,0,9,0
A,Block 4,b,Site 1,Transect 1,2010,55,0,7,0
A,Block 4,b,Site 1,Transect 1,2011,39,0,10,0
A,Block 4,b,Site 1,Transect 1,2012,42,49,0,1
A,Block 4,b,Site 1,Transect 1,2013,45,0,8,0
A,Block 4,b,Site 1,Transect 1,2014,0,0,11,6
A,Block 4,b,Site 1,Transect 2,2000,0,15,0,0
A,Block 4,b,Site 1,Transect 2,2001,17,13,30,1
A,Block 4,b,Site 1,Transect 2,2002,15,5,39,0
A,Block 4,b,Site 1,Transect 2,2003,2,11,0,1
A,Block 4,b,Site 1,Transect 2,2004,4,5,57,0
A,Block 4,b,Site 1,Transect 2,2005,0,0,NA,1
A,Block 4,b,Site 1,Transect 2,2006,15,0,39,0
A,Block 4,b,Site 1,Transect 2,2007,0,0,36,0
A,Block 4,b,Site 1,Transect 2,2008,22,0,35,0
A,Block 4,b,Site 1,Transect 2,2009,0,0,25,0
A,Block 4,b,Site 1,Transect 2,2010,27,17,35,0
A,Block 4,b,Site 1,Transect 2,2011,17,0,0,0
A,Block 4,b,Site 1,Transect 2,2012,0,0,35,0
A,Block 4,b,Site 1,Transect 2,2013,30,0,46,0
A,Block 4,b,Site 1,Transect 2,2014,21,0,34,0
A,Block 4,b,Site 1,Transect 3,2000,0,37,0,3
A,Block 4,b,Site 1,Transect 3,2001,25,0,17,4
A,Block 4,b,Site 1,Transect 3,2002,25,24,0,3
A,Block 4,b,Site 1,Transect 3,2003,0,24,34,0
A,Block 4,b,Site 1,Transect 3,2004,0,19,31,NA
A,Block 4,b,Site 1,Transect 3,2005,0,28,26,0
A,Block 4,b,Site 1,Transect 3,2006,46,31,29,0
A,Block 4,b,Site 1,Transect 3,2007,0,0,16,0
A,Block 4,b,Site 1,Transect 3,2008,45,0,19,0
A,Block 4,b,Site 1,Transect 3,2009,38,47,0,4
A,Block 4,b,Site 1,Transect 3,2010,0,41,10,0
A,Block 4,b,Site 1,Transect 3,2011,35,0,23,0
A,Block 4,b,Site 1,Transect 3,2012,0,0,15,4
A,Block 4,b,Site 1,Transect 3,2013,0,0,14,2
A,Block 4,b,Site 1,Transect 3,2014,43,34,0,0
A,Block 4,b,Site 2,Transect 1,2000,30,24,0,0
A,Block 4,b,Site 2,Transect 1,2001,0,0,19,0
A,Block 4,b,Site 2,Transect 1,2002,27,0,0,1
A,Block 4,b,Site 2,Transect 1,2003,20,0,0,0
A,Block 4,b,Site 2,Transect 1,2004,0,0,30,0
A,Block 4,b,Site 2,Transect 1,2005,26,0,30,0
A,Block 4,b,Site 2,Transect 1,2006,36,30,0,0
A,Block 4,b,Site 2,Transect 1,2007,0,0,19,4
A,Block 4,b,Site 2,Transect 1,2008,38,0,22,0
A,Block 4,b,Site 2,Transect 1,2009,0,0,16,0
A,Block 4,b,Site 2,Transect 1,2010,0,0,0,0
A,Block 4,b,Site 2,Transect 1,2011,38,46,23,1
A,Block 4,b,Site 2,Transect 1,2012,42,0,27,0
A,Block 4,b,Site 2,Transect 1,2013,37,0,0,0
A,Block 4,b,Site 2,Transect 1,2014,36,35,18,8
A,Block 4,b,Site 2,Transect 2,2000,27,28,0,2
A,Block 4,b,Site 2,Transect 2,2001,28,0,32,2
A,Block 4,b,Site 2,Transect 2,2002,0,28,31,2
A,Block 4,b,Site 2,Transect 2,2003,25,0,0,0
A,Block 4,b,Site 2,Transect 2,2004,23,28,40,7
A,Block 4,b,Site 2,Transect 2,2005,20,0,28,0
A,Block 4,b,Site 2,Transect 2,2006,23,0,0,5
A,Block 4,b,Site 2,Transect 2,2007,36,29,20,0
A,Block 4,b,Site 2,Transect 2,2008,30,30,20,1
A,Block 4,b,Site 2,Transect 2,2009,31,0,21,0
A,Block 4,b,Site 2,Transect 2,2010,35,43,0,0
A,Block 4,b,Site 2,Transect 2,2011,36,30,0,0
A,Block 4,b,Site 2,Transect 2,2012,0,0,NA,0
A,Block 4,b,Site 2,Transect 2,2013,0,0,15,4
A,Block 4,b,Site 2,Transect 2,2014,0,0,28,2
A,Block 4,b,Site 2,Transect 3,2000,34,0,27,0
A,Block 4,b,Site 2,Transect 3,2001,23,0,21,0
A,Block 4,b,Site 2,Transect 3,2002,0,0,0,0
A,Block 4,b,Site 2,Transect 3,2003,0,0,38,0
A,Block 4,b,Site 2,Transect 3,2004,17,19,37,0
A,Block 4,b,Site 2,Transect 3,2005,25,0,34,1
A,Block 4,b,Site 2,Transect 3,2006,0,0,0,2
A,Block 4,b,Site 2,Transect 3,2007,0,0,0,0
A,Block 4,b,Site 2,Transect 3,2008,0,0,26,4
A,Block 4,b,Site 2,Transect 3,2009,0,0,12,0
A,Block 4,b,Site 2,Transect 3,2010,41,0,18,5
A,Block 4,b,Site 2,Transect 3,2011,23,0,25,3
A,Block 4,b,Site 2,Transect 3,2012,0,0,32,2
A,Block 4,b,Site 2,Transect 3,2013,32,0,19,0
A,Block 4,b,Site 2,Transect 3,2014,27,0,21,0
A,Block 5,a,Site 1,Transect 1,2000,25,0,33,0
A,Block 5,a,Site 1,Transect 1,2001,26,32,40,4
A,Block 5,a,Site 1,Transect 1,2002,11,0,35,NA
A,Block 5,a,Site 1,Transect 1,2003,16,0,31,3
A,Block 5,a,Site 1,Transect 1,2004,26,0,36,0
A,Block 5,a,Site 1,Transect 1,2005,0,0,39,0
A,Block 5,a,Site 1,Transect 1,2006,16,0,32,2
A,Block 5,a,Site 1,Transect 1,2007,0,0,0,2
A,Block 5,a,Site 1,Transect 1,2008,0,0,33,3
A,Block 5,a,Site 1,Transect 1,2009,24,0,31,0
A,Block 5,a,Site 1,Transect 1,2010,23,0,0,0
A,Block 5,a,Site 1,Transect 1,2011,0,0,31,0
A,Block 5,a,Site 1,Transect 1,2012,20,13,0,1
A,Block 5,a,Site 1,Transect 1,2013,0,0,31,4
A,Block 5,a,Site 1,Transect 1,2014,0,0,40,2
A,Block 5,a,Site 1,Transect 2,2000,33,0,20,1
A,Block 5,a,Site 1,Transect 2,2001,25,27,23,0
A,Block 5,a,Site 1,Transect 2,2002,35,30,23,0
A,Block 5,a,Site 1,Transect 2,2003,28,18,0,0
A,Block 5,a,Site 1,Transect 2,2004,13,0,32,0
A,Block 5,a,Site 1,Transect 2,2005,12,0,0,0
A,Block 5,a,Site 1,Transect 2,2006,29,0,27,0
A,Block 5,a,Site 1,Transect 2,2007,26,NA,28,1
A,Block 5,a,Site 1,Transect 2,2008,0,26,31,0
A,Block 5,a,Site 1,Transect 2,2009,20,25,29,0
A,Block 5,a,Site 1,Transect 2,2010,0,0,20,0
A,Block 5,a,Site 1,Transect 2,2011,34,0,34,3
A,Block 5,a,Site 1,Transect 2,2012,25,26,33,2
A,Block 5,a,Site 1,Transect 2,2013,0,0,29,0
A,Block 5,a,Site 1,Transect 2,2014,0,0,32,1
A,Block 5,a,Site 1,Transect 3,2000,28,33,0,0
A,Block 5,a,Site 1,Transect 3,2001,27,32,21,4
A,Block 5,a,Site 1,Transect 3,2002,30,0,19,0
A,Block 5,a,Site 1,Transect 3,2003,25,0,34,0
A,Block 5,a,Site 1,Transect 3,2004,0,15,30,3
A,Block 5,a,Site 1,Transect 3,2005,0,16,36,0
A,Block 5,a,Site 1,Transect 3,2006,0,0,31,0
A,Block 5,a,Site 1,Transect 3,2007,21,0,28,4
A,Block 5,a,Site 1,Transect 3,2008,0,0,28,0
A,Block 5,a,Site 1,Transect 3,2009,0,0,0,0
A,Block 5,a,Site 1,Transect 3,2010,NA,38,24,2
A,Block 5,a,Site 1,Transect 3,2011,36,35,22,0
A,Block 5,a,Site 1,Transect 3,2012,25,34,25,0
A,Block 5,a,Site 1,Transect 3,2013,31,0,23,0
A,Block 5,a,Site 1,Transect 3,2014,0,0,0,0
A,Block 5,a,Site 2,Transect 1,2000,50,0,14,0
A,Block 5,a,Site 2,Transect 1,2001,0,47,13,0
A,Block 5,a,Site 2,Transect 1,2002,40,0,0,0
A,Block 5,a,Site 2,Transect 1,2003,0,0,20,3
A,Block 5,a,Site 2,Transect 1,2004,36,0,21,0
A,Block 5,a,Site 2,Transect 1,2005,0,0,18,0
A,Block 5,a,Site 2,Transect 1,2006,0,0,13,0
A,Block 5,a,Site 2,Transect 1,2007,40,36,25,3
A,Block 5,a,Site 2,Transect 1,2008,0,0,20,5
A,Block 5,a,Site 2,Transect 1,2009,0,43,13,0
A,Block 5,a,Site 2,Transect 1,2010,42,0,12,2
A,Block 5,a,Site 2,Transect 1,2011,0,0,23,NA
A,Block 5,a,Site 2,Transect 1,2012,0,0,23,0
A,Block 5,a,Site 2,Transect 1,2013,0,0,14,8
A,Block 5,a,Site 2,Transect 1,2014,0,18,18,0
A,Block 5,a,Site 2,Transect 2,2000,9,4,0,3
A,Block 5,a,Site 2,Transect 2,2001,13,0,53,0
A,Block 5,a,Site 2,Transect 2,2002,7,0,49,0
A,Block 5,a,Site 2,Transect 2,2003,8,0,43,0
A,Block 5,a,Site 2,Transect 2,2004,0,2,46,0
A,Block 5,a,Site 2,Transect 2,2005,0,0,52,0
A,Block 5,a,Site 2,Transect 2,2006,4,0,51,0
A,Block 5,a,Site 2,Transect 2,2007,5,0,0,0
A,Block 5,a,Site 2,Transect 2,2008,12,0,48,0
A,Block 5,a,Site 2,Transect 2,2009,3,0,44,0
A,Block 5,a,Site 2,Transect 2,2010,0,0,45,0
A,Block 5,a,Site 2,Transect 2,2011,8,11,52,0
A,Block 5,a,Site 2,Transect 2,2012,3,0,64,0
A,Block 5,a,Site 2,Transect 2,2013,4,0,56,0
A,Block 5,a,Site 2,Transect 2,2014,1,0,48,0
A,Block 5,a,Site 2,Transect 3,2000,20,0,33,0
A,Block 5,a,Site 2,Transect 3,2001,17,0,25,2
A,Block 5,a,Site 2,Transect 3,2002,14,23,34,2
A,Block 5,a,Site 2,Transect 3,2003,20,0,33,0
A,Block 5,a,Site 2,Transect 3,2004,15,19,39,0
A,Block 5,a,Site 2,Transect 3,2005,5,0,32,0
A,Block 5,a,Site 2,Transect 3,2006,15,0,51,2
A,Block 5,a,Site 2,Transect 3,2007,15,0,31,0
A,Block 5,a,Site 2,Transect 3,2008,0,18,34,0
A,Block 5,a,Site 2,Transect 3,2009,24,0,32,0
A,Block 5,a,Site 2,Transect 3,2010,22,0,33,7
A,Block 5,a,Site 2,Transect 3,2011,0,16,25,0
A,Block 5,a,Site 2,Transect 3,2012,0,17,45,0
A,Block 5,a,Site 2,Transect 3,2013,17,0,44,1
A,Block 5,a,Site 2,Transect 3,2014,19,0,41,2
A,Block 5,b,Site 1,Transect 1,2000,0,24,30,0
A,Block 5,b,Site 1,Transect 1,2001,0,0,27,0
A,Block 5,b,Site 1,Transect 1,2002,17,0,32,0
A,Block 5,b,Site 1,Transect 1,2003,20,0,40,0
A,Block 5,b,Site 1,Transect 1,2004,16,14,33,0
A,Block 5,b,Site 1,Transect 1,2005,21,18,0,3
A,Block 5,b,Site 1,Transect 1,2006,36,0,0,0
A,Block 5,b,Site 1,Transect 1,2007,37,0,21,0
A,Block 5,b,Site 1,Transect 1,2008,0,0,25,2
A,Block 5,b,Site 1,Transect 1,2009,0,32,25,0
A,Block 5,b,Site 1,Transect 1,2010,0,0,15,0
A,Block 5,b,Site 1,Transect 1,2011,0,25,0,0
A,Block 5,b,Site 1,Transect 1,2012,0,23,25,0
A,Block 5,b,Site 1,Transect 1,2013,0,0,23,0
A,Block 5,b,Site 1,Transect 1,2014,0,0,35,4
A,Block 5,b,Site 1,Transect 2,2000,26,32,32,1
A,Block 5,b,Site 1,Transect 2,2001,30,38,24,0
A,Block 5,b,Site 1,Transect 2,2002,25,0,0,0
A,Block 5,b,Site 1,Transect 2,2003,21,0,34,2
A,Block 5,b,Site 1,Transect 2,2004,24,20,34,0
A,Block 5,b,Site 1,Transect 2,2005,25,30,32,0
A,Block 5,b,Site 1,Transect 2,2006,37,34,15,0
A,Block 5,b,Site 1,Transect 2,2007,30,0,0,6
A,Block 5,b,Site 1,Transect 2,2008,0,0,0,0
A,Block 5,b,Site 1,Transect 2,2009,0,35,0,0
A,Block 5,b,Site 1,Transect 2,2010,0,34,7,0
A,Block 5,b,Site 1,Transect 2,2011,33,31,0,0
A,Block 5,b,Site 1,Transect 2,2012,21,0,34,0
A,Block 5,b,Site 1,Transect 2,2013,0,37,18,0
A,Block 5,b,Site 1,Transect 2,2014,30,0,29,0
A,Block 5,b,Site 1,Transect 3,2000,0,46,29,3
A,Block 5,b,Site 1,Transect 3,2001,0,33,18,1
A,Block 5,b,Site 1,Transect 3,2002,0,0,31,4
A,Block 5,b,Site 1,Transect 3,2003,0,26,0,0
A,Block 5,b,Site 1,Transect 3,2004,28,0,29,0
A,Block 5,b,Site 1,Transect 3,2005,29,0,0,0
A,Block 5,b,Site 1,Transect 3,2006,0,0,0,0
A,Block 5,b,Site 1,Transect 3,2007,NA,0,19,0
A,Block 5,b,Site 1,Transect 3,2008,50,35,0,0
A,Block 5,b,Site 1,Transect 3,2009,0,0,16,0
A,Block 5,b,Site 1,Transect 3,2010,41,37,0,0
A,Block 5,b,Site 1,Transect 3,2011,0,0,26,3
A,Block 5,b,Site 1,Transect 3,2012,37,0,18,0
A,Block 5,b,Site 1,Transect 3,2013,42,0,12,4
A,Block 5,b,Site 1,Transect 3,2014,41,33,11,0
A,Block 5,b,Site 2,Transect 1,2000,49,0,11,5
A,Block 5,b,Site 2,Transect 1,2001,42,43,6,0
A,Block 5,b,Site 2,Transect 1,2002,0,49,8,6
A,Block 5,b,Site 2,Transect 1,2003,35,0,17,4
A,Block 5,b,Site 2,Transect 1,2004,44,0,0,0
A,Block 5,b,Site 2,Transect 1,2005,33,0,0,4
A,Block 5,b,Site 2,Transect 1,2006,0,0,0,0
A,Block 5,b,Site 2,Transect 1,2007,0,56,5,4
A,Block 5,b,Site 2,Transect 1,2008,46,0,1,0
A,Block 5,b,Site 2,Transect 1,2009,0,0,0,5
A,Block 5,b,Site 2,Transect 1,2010,60,0,0,0
A,Block 5,b,Site 2,Transect 1,2011,47,0,4,5
A,Block 5,b,Site 2,Transect 1,2012,36,44,4,0
A,Block 5,b,Site 2,Transect 1,2013,0,0,6,2
A,Block 5,b,Site 2,Transect 1,2014,57,0,5,0
A,Block 5,b,Site 2,Transect 2,2000,14,13,53,1
A,Block 5,b,Site 2,Transect 2,2001,0,13,50,2
A,Block 5,b,Site 2,Transect 2,2002,6,0,39,0
A,Block 5,b,Site 2,Transect 2,2003,4,0,41,0
A,Block 5,b,Site 2,Transect 2,2004,4,0,0,0
A,Block 5,b,Site 2,Transect 2,2005,0,0,41,1
A,Block 5,b,Site 2,Transect 2,2006,19,0,50,0
A,Block 5,b,Site 2,Transect 2,2007,0,0,41,0
A,Block 5,b,Site 2,Transect 2,2008,13,14,41,0
A,Block 5,b,Site 2,Transect 2,2009,0,27,47,0
A,Block 5,b,Site 2,Transect 2,2010,0,17,28,0
A,Block 5,b,Site 2,Transect 2,2011,16,0,0,3
A,Block 5,b,Site 2,Transect 2,2012,17,0,48,0
A,Block 5,b,Site 2,Transect 2,2013,18,0,36,0
A,Block 5,b,Site 2,Transect 2,2014,19,12,41,0
A,Block 5,b,Site 2,Transect 3,2000,20,24,34,0
A,Block 5,b,Site 2,Transect 3,2001,23,0,30,0
A,Block 5,b,Site 2,Transect 3,2002,25,18,34,0
A,Block 5,b,Site 2,Transect 3,2003,23,0,38,0
A,Block 5,b,Site 2,Transect 3,2004,13,0,0,0
A,Block 5,b,Site 2,Transect 3,2005,0,0,33,2
A,Block 5,b,Site 2,Transect 3,2006,31,0,32,0
A,Block 5,b,Site 2,Transect 3,2007,32,43,31,0
A,Block 5,b,Site 2,Transect 3,2008,29,27,18,0
A,Block 5,b,Site 2,Transect 3,2009,33,33,16,0
A,Block 5,b,Site 2,Transect 3,2010,39,31,33,6
A,Block 5,b,Site 2,Transect 3,2011,33,0,31,0
